timestamp	data_points	BTC_corr_15m	BTC_momentum_15m	BTC_zscore_15m	ETH_corr_15m	ETH_momentum_15m	ETH_zscore_15m	BTCDOM_corr_15m	BTCDOM_momentum_15m	BTCDOM_zscore_15m	USDT_BTC_corr_15m	USDT_BTC_momentum_15m	USDT_BTC_zscore_15m
1776179292031	91	-0.6136	-270.0665	0.0	-0.6479	-262.381	0.0	0.2035	-148.8127	0.0	0.6134	-269.964	0.0
1776179352031	92	-0.634	-502.5397	0.0	-0.6956	-661.874	0.0	0.1491	-193.5383	0.0	0.6334	-501.6487	0.0
1776179412031	93	-0.696	-735.0365	0.0	-0.7524	-2616.388	0.0	0.15	-17.3098	0.0	0.6953	-733.2423	0.0
1776179472031	94	-0.6463	-1208.5763	0.0	-0.6864	1611.7207	0.0	0.1124	-67.4392	0.0	0.6456	-1205.4795	0.0
1776179532031	95	-0.6806	-1137.5	0.0	-0.5811	2271.8367	0.0	-0.4964	-242.9724	0.0	0.6811	-1136.6819	0.0
1776179592031	96	-0.669	318.3865	-0.4932	-0.5455	102.5622	2.2434	-0.6095	-239.5695	-2.4198	0.6692	318.5116	0.51
1776179652031	97	-0.6223	39.1547	1.2187	-0.5098	-0.4297	2.0189	-0.64	-222.7229	-1.6623	0.6224	39.146	-1.202
1776179712031	98	-0.6266	0.6101	0.8749	-0.5174	-23.006	1.393	-0.5525	-191.5038	-1.0648	0.6266	0.6101	-0.8669
1776179772031	99	-0.5918	-7.1249	2.0213	-0.4862	-27.7026	1.5351	-0.3861	-167.6775	-0.4787	0.5919	-7.1092	-2.0108
1776179832031	100	-0.4357	-28.8304	5.0	-0.3028	-53.7215	3.3205	-0.1819	-133.6291	0.1371	0.4355	-28.8747	-5.0
1776179892031	101	-0.377	-34.16	3.5465	-0.2007	-69.2414	2.9948	-0.097	-118.6934	0.3852	0.3767	-34.2353	-3.5488
1776179952031	102	-0.2679	-57.6978	3.4429	-0.0688	-90.3384	2.9463	0.1752	-67.9825	1.2172	0.2673	-57.8058	-3.4464
1776180012031	103	-0.0517	-92.279	4.0017	-0.046	-93.6934	2.2625	0.3727	-19.7113	1.7089	0.0511	-92.3674	-4.0015
1776180072031	104	0.3437	-152.6905	4.6934	0.3477	-148.677	3.5728	0.4602	85.6394	1.7376	-0.3438	-152.7139	-4.689
1776180132031	105	0.622	-198.8243	3.7845	0.3724	-154.4206	2.5715	0.5905	109.1006	1.8746	-0.6217	-198.7766	-3.7819
1776180192031	106	0.6872	-211.9948	2.7824	0.2179	-133.6317	1.6299	0.7448	265.9951	2.0228	-0.687	-211.9987	-2.7818
1776180252031	107	0.7008	-210.5363	2.2412	0.2569	-136.9321	1.5676	0.7441	399.061	1.7462	-0.7006	-210.6094	-2.2409
1776180312031	108	0.7245	-204.0948	1.957	0.333	-144.2584	1.6212	0.7638	409.2	1.6038	-0.7242	-204.1565	-1.9566
1776180372031	109	0.9	-239.2542	2.0503	0.5734	-183.5373	2.0778	0.8301	638.5231	1.6	-0.8999	-239.3897	-2.0505
1776180432031	110	0.9112	-233.8819	1.825	0.5098	-187.7302	1.6769	0.8032	-261.805	1.4063	-0.9113	-233.7983	-1.8255
1776180492031	111	0.903	-234.9776	1.6336	0.5368	-198.4051	1.591	0.7655	-225.5947	1.2313	-0.9031	-234.9522	-1.634
1776180552031	112	0.8674	-239.3861	1.4458	0.4874	-195.6061	1.3594	0.7271	-213.6094	1.0836	-0.8676	-239.3959	-1.4462
1776180612031	113	0.8372	-233.61	1.3035	0.429	-182.9146	1.1508	0.6883	-224.5792	0.9541	-0.8374	-233.6419	-1.3038
1776180672031	114	0.7912	-233.6938	1.1605	0.3169	-165.1789	0.8562	0.6514	-268.7128	0.8413	-0.7913	-233.6881	-1.1606
1776180732031	115	0.7778	-278.5173	1.0853	0.476	-257.1995	1.1659	0.599	-429.3018	0.7061	-0.7782	-278.6912	-1.0859
1776180792031	116	0.7067	-287.4536	0.9323	0.5279	-363.0294	1.2228	0.3627	-473.9175	0.2037	-0.707	-287.6825	-0.9327
1776180852031	117	0.6208	-331.7283	0.7699	0.5206	-856.686	1.1506	0.4205	140.0114	0.3195	-0.6212	-332.3981	-0.7703
1776180912031	118	0.7831	-1614.7002	0.9939	0.724	-1673.913	1.529	0.3742	0.4025	0.2152	-0.7831	-1632.4853	-0.9938
1776180972031	119	0.7972	131.9465	0.9806	0.7518	116.2209	1.4995	0.34	-26.1191	0.1377	-0.7973	131.9081	-0.9807
1776181032031	120	0.8322	33.7942	1.0013	0.793	112.9431	1.5023	0.1964	-66.7401	-0.1785	-0.8321	33.8427	-1.001
1776197460060	120	0.893	16.8237	1.061	0.8396	63.0291	1.5164	0.5187	-40.1385	0.5406	-0.8928	16.7669	-1.0606
1776198154756	120	0.3139	-42.8545	0.1034	0.2465	-61.4964	0.2482	-0.2777	-175.0541	-1.2469	-0.314	-42.8779	-0.1034
