type	price	quantity
bid	614.15	0.155
bid	614.14	0.048
bid	614.13	0.036
bid	614.12	0.036
bid	614.11	5.689
bid	614.1	5.054
bid	614.09	4.776
bid	614.08	7.621
bid	614.07	14.157
bid	614.06	19.368
bid	614.05	1.889
bid	614.04	5.669
bid	614.03	0.181
bid	614.02	9.253
bid	614.01	14.356
bid	614.0	7.117
bid	613.99	11.575
bid	613.98	9.823
bid	613.97	7.731
bid	613.96	3.689
bid	613.95	12.027
bid	613.94	0.035
bid	613.93	9.234
bid	613.92	8.474
bid	613.91	5.286
bid	613.9	0.031
bid	613.89	13.041
bid	613.88	7.341
bid	613.87	0.038
bid	613.86	33.651
bid	613.85	6.862
bid	613.84	5.747
bid	613.83	1.617
bid	613.82	5.271
bid	613.81	0.009
bid	613.8	0.036
bid	613.79	3.583
bid	613.78	10.111
bid	613.77	5.119
bid	613.76	10.289
bid	613.75	31.153
bid	613.74	9.732
bid	613.73	5.297
bid	613.72	1.33
bid	613.71	18.288
bid	613.7	0.117
bid	613.69	24.717
bid	613.68	4.648
bid	613.67	3.266
bid	613.65	23.688
bid	613.64	30.894
bid	613.63	1.584
bid	613.62	30.151
bid	613.61	3.266
bid	613.6	0.357
bid	613.59	24.698
bid	613.58	5.451
bid	613.57	11.627
bid	613.56	8.687
bid	613.55	24.127
bid	613.54	0.009
bid	613.53	40.236
bid	613.52	11.029
bid	613.51	60.786
bid	613.5	9.799
bid	613.49	12.241
bid	613.48	8.373
bid	613.47	13.954
bid	613.46	22.826
bid	613.45	5.107
bid	613.44	4.56
bid	613.43	12.544
bid	613.42	24.458
bid	613.41	9.461
bid	613.39	4.88
bid	613.38	24.243
bid	613.37	8.348
bid	613.36	11.424
bid	613.35	12.388
bid	613.34	0.043
bid	613.33	11.98
bid	613.32	63.09
bid	613.31	4.722
bid	613.3	6.443
bid	613.29	0.016
bid	613.28	4.162
bid	613.27	0.083
bid	613.26	8.193
bid	613.25	6.679
bid	613.24	0.017
bid	613.23	24.681
bid	613.22	11.724
bid	613.21	5.576
bid	613.2	15.049
bid	613.19	24.914
bid	613.18	24.472
bid	613.17	0.805
bid	613.16	3.334
bid	613.15	11.168
bid	613.13	9.618
bid	613.12	8.34
bid	613.11	22.86
bid	613.1	1.575
bid	613.09	0.017
bid	613.08	0.01
bid	613.07	0.018
bid	613.06	1.524
bid	613.05	5.019
bid	613.04	1.563
bid	613.03	5.099
bid	613.02	13.361
bid	613.01	8.323
bid	613.0	9.296
bid	612.99	30.101
bid	612.98	5.269
bid	612.97	17.603
bid	612.96	0.05
bid	612.95	0.071
bid	612.94	1.747
bid	612.93	12.257
bid	612.92	4.569
bid	612.9	17.488
bid	612.89	26.423
bid	612.88	35.889
bid	612.87	34.625
bid	612.86	195.715
bid	612.84	6.231
bid	612.83	0.046
bid	612.82	0.521
bid	612.81	11.865
bid	612.8	0.826
bid	612.79	132.329
bid	612.78	8.314
bid	612.77	5.329
bid	612.76	0.043
bid	612.74	7.3
bid	612.73	22.462
bid	612.72	193.03
bid	612.71	10.556
bid	612.7	5.237
bid	612.69	0.017
bid	612.68	94.391
bid	612.67	53.818
bid	612.66	1.635
bid	612.65	0.009
bid	612.64	0.06
bid	612.63	9.833
bid	612.6	1.932
bid	612.59	15.342
bid	612.58	19.155
bid	612.57	30.414
bid	612.56	35.248
bid	612.55	200.33
bid	612.54	0.039
bid	612.53	9.852
bid	612.52	4.522
bid	612.51	0.281
bid	612.5	2.113
bid	612.49	10.619
bid	612.48	0.047
bid	612.47	0.026
bid	612.46	0.174
bid	612.45	1.373
bid	612.44	0.026
bid	612.42	2.132
bid	612.41	5.449
bid	612.4	92.376
bid	612.38	0.937
bid	612.37	0.069
bid	612.36	0.031
bid	612.35	7.643
bid	612.34	0.039
bid	612.33	0.017
bid	612.3	0.026
bid	612.29	0.145
bid	612.28	0.009
bid	612.27	1.187
bid	612.26	5.087
bid	612.25	41.279
bid	612.24	195.948
bid	612.23	1.592
bid	612.22	0.549
bid	612.21	0.095
bid	612.2	0.2
bid	612.19	0.009
bid	612.17	1.347
bid	612.16	185.11
bid	612.15	0.018
bid	612.14	0.01
bid	612.13	0.078
bid	612.12	15.766
bid	612.1	1.642
bid	612.09	92.77
bid	612.08	237.901
bid	612.07	9.247
bid	612.06	0.062
bid	612.04	0.024
bid	612.03	24.156
bid	612.02	0.574
bid	612.01	1.575
ask	614.16	45.638
ask	614.17	5.759
ask	614.18	1.62
ask	614.19	31.776
ask	614.2	13.624
ask	614.21	10.981
ask	614.22	8.91
ask	614.23	8.069
ask	614.24	11.963
ask	614.25	18.083
ask	614.26	10.449
ask	614.27	21.155
ask	614.28	5.24
ask	614.29	5.728
ask	614.3	0.027
ask	614.31	0.4
ask	614.32	0.045
ask	614.33	2.177
ask	614.34	2.136
ask	614.35	0.091
ask	614.36	4.087
ask	614.37	6.133
