timestamp	type	timeframe	pattern	duration	strength	first_pattern	last_pattern	direction	start_ts	end_ts
1778363880000	RAW	1m	SPT|HAM|HWC|3WS|HAB							
1778363940000	RAW	1m	BLM|HBF|HBE|HAC							
1778364000000	RAW	1m	WHM|TZB|HBF							
1778364060000	RAW	1m	BRE|DCC|TZT|HBF							
1778364120000	RAW	1m	HBF							
1778364180000	RAW	1m	BLM|BRE|DCC|HBF							
1778364240000	RAW	1m	HBF							
1778364300000	RAW	1m	BLM|TZT|HBF							
1778364360000	RAW	1m	HWC|HBF							
1778360400000	RAW	5m	WHM|HAB							
1778360700000	RAW	5m	3WS|HAB							
1778361000000	RAW	5m	SPT|INV|HWC|3WS|4WS|HAB							
1778361300000	RAW	5m	DOJ|LDO|SPT|HAM|INV|HAB							
1778361600000	RAW	5m	BLM|LBC|EVS|HBF|HBE							
1778361900000	RAW	5m	SPT|HAM|HWC|HBF							
1778362200000	RAW	5m	BLM|BRE|DCC|TZT|HBF							
1778362500000	RAW	5m	HBF							
1778362800000	RAW	5m	HWC|3BC|HBF							
1778363100000	RAW	5m	HBF							
1778363400000	RAW	5m	HWC|HAB|HBR							
1778363700000	RAW	5m	HAB							
1778364000000	RAW	5m	HWC|HBF|HBE							
1778364300000	RAW	5m	3BC|HBF							
1778352300000	RAW	15m	SPT|HAM|INV|HWC|HBF|HBE							
1778353200000	RAW	15m	HWC|BRE|DCC|HBF|HAC							
1778354100000	RAW	15m	HWC|HBF							
1778355000000	RAW	15m	HWC|HBF							
1778355900000	RAW	15m	HAB|HBR							
1778356800000	RAW	15m	BLM|LBC|HAB|HAC							
1778357700000	RAW	15m	HBF|HBE							
1778358600000	RAW	15m	SPT|HAM|HWC|HBF							
1778359500000	RAW	15m	DOJ|LDO|SPT|HAM|INV|HBF							
1778360400000	RAW	15m	HAB|HBR							
1778361300000	RAW	15m	DCC|HAB|HAC							
1778362200000	RAW	15m	BLM|HBF|HBE							
1778363100000	RAW	15m	HWC|HBF							
1778364000000	RAW	15m	HBF|RDN							
1778317200000	RAW	1h	LBC|HAB|HAC							
1778320800000	RAW	1h	HAM|INV|HWC|HBF|HBE							
1778324400000	RAW	1h	HAB|HBR							
1778328000000	RAW	1h	HWC|3WS|HAB							
1778331600000	RAW	1h	SPT|HAM|INV|HWC|HAB							
1778335200000	RAW	1h	HWC|HBF|HBE|HAC							
1778338800000	RAW	1h	LWC|HAB|HBR							
1778342400000	RAW	1h	HWC|HAB							
1778346000000	RAW	1h	LWC|3WS|HAB							
1778349600000	RAW	1h	HWC|3WS|4WS|HAB							
1778353200000	RAW	1h	HAM|HWC|3WS|4WS|HAB							
1778356800000	RAW	1h	HAB|HAC							
1778360400000	RAW	1h	INV|HWC|HBF|HBE							
1778364000000	RAW	1h	3BC|HBF|RDN							
1778169600000	RAW	4h	HWC|HBF							
1778184000000	RAW	4h	HAM|HWC|DCC|HBF							
1778198400000	RAW	4h	HWC|HBF							
1778212800000	RAW	4h	HAM|HWC|HBF							
1778227200000	RAW	4h	HAB|HBR							
1778241600000	RAW	4h	HAM|INV|HWC|HAB							
1778256000000	RAW	4h	SPT|HAM|INV|HWC|HAB|HAC							
1778270400000	RAW	4h	DOJ|LDO|SPT|HAM|INV|HAB							
1778284800000	RAW	4h	HWC|3WS|HAB							
1778299200000	RAW	4h	HWC|DCC|HAB							
1778313600000	RAW	4h	HWC|PIE|HAB|HAC							
1778328000000	RAW	4h	HWC|HAB							
1778342400000	RAW	4h	3WS|HAB							
1778356800000	RAW	4h	BLM|HAB|RDN							
HIGH_PROB_SCENARIO	Maybe DOWN	25	Structure:RANGE|Vol:low_vol|Momentum:-0.31|Score:-69							
1778352420000	EVENT	1m	WHM	1	1	WHM	WHM	BULL	1778352420000	1778352420000
1778357040000	EVENT	1m	HBF	4	4	HBF	HBF	BEAR	1778357040000	1778362680000
1778362920000	EVENT	1m	HAB	3	3	HAB	HAB	BULL	1778362920000	1778363340000
1778314200000	EVENT	5m	HAB	1	1	HAB	HAB	BULL	1778314200000	1778314200000
1778319600000	EVENT	5m	HBF	2	2	HBF	HBF	BEAR	1778319600000	1778319900000
1778325300000	EVENT	5m	HAB	1	1	HAB	HAB	BULL	1778325300000	1778325300000
1778334000000	EVENT	5m	HBF	2	2	HBF	HBF	BEAR	1778334000000	1778334300000
1778335200000	EVENT	5m	HAB	1	1	HAB	HAB	BULL	1778335200000	1778335200000
1778337000000	EVENT	5m	HBF	5	5	HBF	HBF	BEAR	1778337000000	1778358900000
1778279400000	EVENT	15m	HAB	1	1	HAB	HAB	BULL	1778279400000	1778279400000
1778283900000	EVENT	15m	HBF	1	1	HBF	HBF	BEAR	1778283900000	1778283900000
1778287500000	EVENT	15m	HAB	1	1	HAB	HAB	BULL	1778287500000	1778287500000
1778298300000	EVENT	15m	HBF	1	1	HBF	HBF	BEAR	1778298300000	1778298300000
1778300100000	EVENT	15m	HAB	2	2	HAB	HAB	BULL	1778300100000	1778304600000
1778306400000	EVENT	15m	HBF	4	4	HBF	HBF	BEAR	1778306400000	1778309100000
1778330700000	EVENT	15m	HAB	3	3	HAB	HAB	BULL	1778330700000	1778346900000
1777935600000	EVENT	1h	LBC	2	2	LBC	HBF	BEAR	1777935600000	1778126400000
1777276800000	EVENT	4h	HBF	2	2	HBF	HBF	BEAR	1777276800000	1777320000000
1777622400000	EVENT	4h	HAB	2	2	HAB	HAB	BULL	1777622400000	1777982400000
