timestamp	data_points	BTC_corr_15m	BTC_momentum_15m	BTC_zscore_15m	ETH_corr_15m	ETH_momentum_15m	ETH_zscore_15m	BTCDOM_corr_15m	BTCDOM_momentum_15m	BTCDOM_zscore_15m	USDT_BTC_corr_15m	USDT_BTC_momentum_15m	USDT_BTC_zscore_15m
1776177824427	91	0.5394	-187.0843	0.0	0.5154	-197.2636	0.0	-0.1464	-80.2349	0.0	-0.5403	-187.1733	0.0
1776177884427	92	0.4739	-201.1095	0.0	0.5163	-226.7616	0.0	-0.3282	-48.9183	0.0	-0.4748	-201.172	0.0
1776177944427	93	0.1821	-184.3446	0.0	0.2688	-553.2884	0.0	-0.2442	-56.4783	0.0	-0.1834	-184.5941	0.0
1776178004427	94	-0.0606	-78.1227	0.0	-0.0057	-96.3083	0.0	0.0188	-104.3288	0.0	0.0603	-78.2859	0.0
1776178064427	95	-0.0525	-83.4123	0.0	-0.0204	-92.1569	0.0	0.0357	-275.8621	0.0	0.0526	-83.4122	0.0
1776178124427	96	-0.1834	-2.0299	-1.5785	-0.1523	10.3623	-1.7204	0.1666	1730.7692	2.0951	0.1836	-2.08	1.5798
1776178184427	97	-0.3769	561.2281	-1.9146	-0.3438	2650.4	-2.0105	0.2493	-2078.5714	1.9351	0.3776	562.4561	1.9161
1776178244427	98	-0.5229	-592.3729	-1.9004	-0.4501	-477.6007	-1.8283	0.2975	-523.1863	1.6908	0.5235	-591.5493	1.9
1776178304427	99	-0.6253	-545.3704	-1.7646	-0.5343	-465.9589	-1.6825	0.2924	-530.0	1.3338	0.6255	-544.8791	1.7627
1776178364427	100	-0.6056	-398.9141	-1.3831	-0.5217	-464.0614	-1.3495	0.2512	1360.4651	0.963	0.6057	-398.2275	1.3818
1776178424427	101	-0.6344	-309.9272	-1.274	-0.5633	-460.6274	-1.2866	0.0924	-61.8655	0.1509	0.6346	-309.4389	1.2732
1776178484427	102	-0.6024	-327.4066	-1.0558	-0.5463	-584.7382	-1.1001	-0.083	-128.8194	-0.6931	0.6025	-326.8449	1.0551
1776178544427	103	-0.5938	-252.2174	-0.946	-0.5772	-317.8935	-1.0827	-0.1035	-136.1635	-0.7509	0.5938	-251.8282	0.9451
1776178604427	104	-0.6514	-230.3843	-1.0205	-0.6654	-257.9772	-1.2208	-0.329	-301.7167	-1.829	0.6513	-230.0779	1.0193
1776178664427	105	-0.6436	-221.0457	-0.9296	-0.6685	-240.2055	-1.1261	-0.2325	-1902.3256	-1.1355	0.6436	-220.8185	0.9288
1776178724427	106	-0.612	-213.4594	-0.7951	-0.6541	-226.9111	-1.0087	0.0789	-153.8934	0.3831	0.612	-213.2704	0.7945
1776178784427	107	-0.5633	-218.8647	-0.6331	-0.6137	-218.865	-0.8461	0.3561	-208.5009	1.6833	0.5632	-218.6184	0.6324
1776178844427	108	-0.5959	-427.2378	-0.6903	-0.6356	-336.4583	-0.8593	0.5297	-316.9124	2.2972	0.5957	-424.8092	0.6893
1776178904427	109	-0.5851	865.5116	-0.6341	-0.639	11110.5263	-0.8272	0.5819	2995.2128	2.1768	0.585	870.1493	0.6335
1776178964427	110	-0.5551	957.3333	-0.5317	-0.615	2914.7059	-0.7293	0.5531	1449.2997	1.7872	0.555	955.1331	0.5312
1776179024427	111	-0.497	170.9924	-0.3586	-0.5784	279.7768	-0.6064	0.564	238.5354	1.6566	0.497	170.6972	0.3585
1776179084427	112	-0.5345	41.8148	-0.4518	-0.6208	80.5701	-0.6987	0.6279	151.8652	1.7411	0.5345	41.5519	0.4516
1776179144427	113	-0.6177	18.1297	-0.6719	-0.6701	48.878	-0.8071	0.6195	108.2353	1.5669	0.6174	17.937	0.6707
1776179204427	114	-0.6313	0.9595	-0.6892	-0.6896	29.0661	-0.831	0.4245	45.1778	0.8285	0.6311	0.8953	0.6883
1776179264427	115	-0.5516	-8.9168	-0.44	-0.5913	13.341	-0.535	0.3865	53.8615	0.6764	0.5514	-8.9648	0.4393
1776179324427	116	-0.4446	-29.918	-0.118	-0.4548	-19.2615	-0.1449	0.1836	98.7013	-0.0091	0.4439	-30.0504	0.1162
1776179384427	117	-0.182	-69.7875	0.6634	-0.151	-72.3595	0.7118	-0.233	180.7229	-1.4031	0.1821	-69.7759	-0.6622
1776179444427	118	-0.5428	-8.5888	-0.4363	-0.4547	-21.2231	-0.1697	-0.132	27.5362	-0.9967	0.5431	-8.5382	0.4373
1776179504427	119	-0.5838	-10.3776	-0.5518	-0.4924	-25.9994	-0.2755	-0.1076	-67.2948	-0.8815	0.5838	-10.3639	0.5517
1776179564427	120	-0.5196	-19.2666	-0.3416	-0.4234	-36.6642	-0.0678	-0.1958	-15.7849	-1.1466	0.5195	-19.2822	0.3413
