type	price	quantity
bid	74683.14	2.16447
bid	74683.13	0.00037
bid	74681.53	7e-05
bid	74681.52	7e-05
bid	74681.5	0.00023
bid	74681.49	0.10677
bid	74681.48	0.35475
bid	74681.34	8e-05
bid	74681.27	0.00017
bid	74680.84	7e-05
bid	74680.58	7e-05
bid	74680.0	0.0012
bid	74679.99	0.00133
bid	74679.84	7e-05
bid	74679.61	0.00382
bid	74679.3	0.00021
bid	74678.61	0.016
bid	74678.21	0.00023
bid	74678.12	0.00014
bid	74678.0	0.0012
bid	74677.87	8e-05
bid	74677.41	0.00306
bid	74677.1	0.00191
bid	74676.61	0.00134
bid	74676.3	7e-05
bid	74676.01	0.00014
bid	74676.0	0.00128
bid	74675.52	0.00406
bid	74675.3	7e-05
bid	74674.9	7e-05
bid	74674.41	0.00016
bid	74674.4	0.00031
bid	74674.01	0.003
bid	74674.0	0.0012
bid	74673.97	0.00028
bid	74673.9	0.003
bid	74673.4	0.00023
bid	74673.39	0.01612
bid	74673.35	0.4797
bid	74673.34	1.60682
bid	74672.99	0.00014
bid	74672.93	9e-05
bid	74672.76	7e-05
bid	74672.6	7e-05
bid	74672.0	0.0012
bid	74671.71	0.00887
bid	74671.7	0.00011
bid	74671.62	7e-05
bid	74671.61	0.12392
bid	74670.93	8e-05
bid	74670.39	0.00015
bid	74670.19	0.54546
bid	74670.18	1.60682
bid	74670.04	0.00287
bid	74670.0	0.0012
bid	74669.56	0.00886
bid	74669.22	7e-05
bid	74669.13	0.0018
bid	74669.04	0.003
bid	74668.99	0.00321
bid	74668.55	0.02
bid	74668.45	0.0219
bid	74668.41	0.0002
bid	74668.38	8e-05
bid	74668.33	7e-05
bid	74668.26	0.207
bid	74668.0	0.0012
bid	74667.84	9e-05
bid	74667.46	8e-05
bid	74667.2	1.31596
bid	74667.19	2.67856
bid	74667.18	0.06111
bid	74667.14	0.05012
bid	74667.1	1.60682
bid	74666.8	0.00137
bid	74666.75	0.00014
bid	74666.66	0.02943
bid	74666.65	0.00025
bid	74666.54	0.01902
bid	74666.48	0.00146
bid	74666.46	0.00028
bid	74666.26	0.00014
bid	74666.0	0.0012
bid	74665.82	0.00873
bid	74665.68	7e-05
bid	74665.3	0.33452
bid	74665.26	0.49193
bid	74665.13	0.00013
bid	74665.05	7e-05
bid	74664.94	0.00382
bid	74664.82	0.00014
bid	74664.17	0.00011
bid	74664.0	0.0012
bid	74663.99	8e-05
bid	74663.87	1.60682
bid	74663.32	0.00187
bid	74663.05	8e-05
bid	74662.33	0.0001
bid	74662.14	7e-05
bid	74662.0	0.0012
bid	74661.97	0.003
bid	74661.78	0.00015
bid	74661.76	7e-05
bid	74661.54	0.00191
bid	74661.35	0.00037
bid	74661.25	0.00038
bid	74660.83	1.60682
bid	74660.82	1.07254
bid	74660.81	2.67856
bid	74660.78	0.207
bid	74660.76	8e-05
bid	74660.52	8e-05
bid	74660.4	9e-05
bid	74660.21	0.0002
bid	74660.17	0.05
bid	74660.0	0.00182
bid	74659.96	0.20206
bid	74659.94	0.30541
bid	74659.82	0.004
bid	74659.52	0.00014
bid	74659.07	0.01613
bid	74658.6	7e-05
bid	74658.47	7e-05
bid	74658.37	0.00287
bid	74658.0	0.0012
bid	74657.9	0.00669
bid	74657.89	8e-05
bid	74657.63	0.00014
bid	74657.62	0.02435
bid	74657.1	0.003
bid	74657.05	8e-05
bid	74656.64	0.00011
bid	74656.25	0.00045
bid	74656.0	0.0012
bid	74655.19	7e-05
bid	74655.16	0.02
bid	74655.06	7e-05
bid	74654.6	0.01338
bid	74654.54	7e-05
bid	74654.46	0.003
bid	74654.05	0.00014
bid	74654.0	0.0012
bid	74653.84	0.00096
bid	74653.82	0.00078
bid	74653.58	8e-05
bid	74653.49	1.60394
bid	74653.48	2.67856
bid	74653.47	1.60682
bid	74653.3	0.207
bid	74653.14	8e-05
bid	74652.96	9e-05
bid	74652.58	0.05
bid	74652.54	0.05012
bid	74652.35	0.004
bid	74652.29	0.00028
bid	74652.24	0.00118
bid	74652.12	0.00014
bid	74652.0	0.0012
bid	74651.91	7e-05
bid	74651.62	0.03806
bid	74651.6	0.0159
bid	74651.52	7e-05
bid	74651.29	0.05748
bid	74651.28	0.00011
bid	74651.04	0.01
bid	74650.54	0.02
bid	74650.46	1.60682
bid	74650.26	0.00382
bid	74650.22	0.00015
bid	74650.11	8e-05
bid	74650.0	0.06883
bid	74649.69	0.0002
bid	74649.6	0.003
bid	74649.54	0.00031
bid	74649.11	0.00011
bid	74649.08	0.00787
bid	74648.66	0.002
bid	74648.62	7e-05
bid	74648.29	0.02
bid	74648.09	0.00014
bid	74648.0	0.0012
bid	74647.98	7e-05
bid	74647.73	0.36404
bid	74647.72	1.07955
bid	74647.14	0.48201
bid	74646.69	0.12
bid	74646.64	8e-05
bid	74646.26	1.393
bid	74646.25	1.60682
bid	74646.24	2.67856
bid	74646.23	0.04015
bid	74646.05	0.0219
bid	74646.0	0.0012
bid	74645.97	0.00191
bid	74645.64	0.0008
bid	74645.54	0.00014
bid	74645.52	0.00017
bid	74645.34	7e-05
bid	74644.88	0.004
bid	74644.74	0.003
ask	74683.15	2.10459
ask	74683.16	0.00016
ask	74683.38	7e-05
ask	74685.74	0.44177
ask	74686.33	0.0303
ask	74686.92	7e-05
ask	74687.36	0.13701
ask	74687.37	7e-05
ask	74687.54	0.00685
ask	74687.55	0.41789
ask	74687.56	0.24305
ask	74687.78	7e-05
ask	74687.92	0.00014
ask	74688.13	7e-05
ask	74688.14	7e-05
ask	74688.15	0.00137
ask	74688.48	0.003
ask	74688.96	0.00307
ask	74689.03	7e-05
ask	74689.04	7e-05
ask	74689.28	7e-05
ask	74689.33	0.00014
ask	74690.03	0.00016
ask	74690.16	9e-05
ask	74690.39	0.00028
ask	74690.43	7e-05
ask	74690.46	7e-05
ask	74690.47	7e-05
ask	74690.61	0.33469
ask	74690.62	0.20707
ask	74690.69	7e-05
ask	74690.7	7e-05
ask	74690.71	7e-05
ask	74690.94	7e-05
ask	74691.03	0.12
ask	74691.17	7e-05
ask	74691.18	0.01338
ask	74691.75	8e-05
ask	74692.17	0.01338
ask	74692.31	0.04016
ask	74692.33	0.01601
ask	74692.55	0.00014
ask	74692.76	0.00174
ask	74693.3	0.06995
ask	74693.34	0.003
ask	74693.37	0.00287
ask	74694.0	7e-05
ask	74694.17	0.20031
ask	74694.18	0.12049
ask	74694.35	7e-05
ask	74694.41	0.00862
ask	74695.13	0.00048
ask	74695.14	0.0507
ask	74695.18	0.06266
ask	74695.22	8e-05
ask	74695.26	0.0019
ask	74696.01	0.00011
ask	74696.04	0.20262
ask	74696.05	0.12068
ask	74696.29	0.00014
ask	74696.42	0.17053
ask	74696.43	0.003
ask	74696.98	0.01583
ask	74697.16	0.02
ask	74697.47	0.00892
ask	74697.54	7e-05
ask	74697.6	9e-05
ask	74697.95	0.21958
ask	74697.96	0.064
ask	74698.09	0.207
ask	74698.2	0.003
ask	74698.27	0.00014
ask	74698.31	0.05
ask	74698.61	0.00094
ask	74698.62	0.00028
ask	74698.75	0.32785
