timestamp	data_points	BTC_corr_15m	BTC_momentum_15m	BTC_zscore_15m	ETH_corr_15m	ETH_momentum_15m	ETH_zscore_15m	BTCDOM_corr_15m	BTCDOM_momentum_15m	BTCDOM_zscore_15m	USDT_BTC_corr_15m	USDT_BTC_momentum_15m	USDT_BTC_zscore_15m
1776181327197	91	0.8933	36.7784	0.0	0.8943	19.7509	0.0	-0.5495	-262.3818	0.0	-0.8929	36.7381	0.0
1776181387197	92	0.9009	33.6845	0.0	0.896	21.6235	0.0	-0.6292	-269.413	0.0	-0.9007	33.6747	0.0
1776181447197	93	0.9164	32.313	0.0	0.8972	22.6018	0.0	-0.6687	-289.6483	0.0	-0.9164	32.313	0.0
1776181507197	94	0.8638	46.0108	0.0	0.8282	20.8345	0.0	-0.6526	-525.1466	0.0	-0.864	46.0446	0.0
1776181567197	95	0.8359	86.5016	0.0	0.798	31.8355	0.0	-0.6473	2938.9671	0.0	-0.8361	86.5462	0.0
1776181627197	96	0.805	64.3864	-2.683	0.7623	24.0723	-2.4115	-0.5623	-936.756	1.602	-0.8054	64.4345	2.6814
1776181687197	97	0.6881	59.0983	-4.6575	0.614	15.1754	-4.3482	-0.4028	-2414.9425	4.712	-0.6885	59.1172	4.6735
1776181747197	98	0.4513	9.8856	-5.0	0.3733	-29.5128	-4.6254	-0.1555	-36.1134	4.9958	-0.4516	9.9051	5.0
1776181807197	99	-0.205	-149.6368	-5.0	-0.2088	-140.5122	-5.0	0.0476	-116.7194	3.5395	0.2047	-149.5402	5.0
1776181867197	100	-0.3643	-165.4039	-3.0534	-0.4145	-166.1823	-3.0989	0.3126	-218.3195	3.2646	0.3642	-165.3977	3.0545
1776181927197	101	0.1602	-76.0574	-0.9246	0.1022	-85.4042	-0.9678	0.3201	-232.0545	2.1778	-0.16	-76.073	0.9255
1776181987197	102	0.343	-51.3682	-0.441	0.2222	-69.1089	-0.6212	0.5578	-283.6076	2.3741	-0.3427	-51.3901	0.442
1776182047197	103	0.5235	-26.9467	-0.0013	0.3893	-48.1555	-0.2065	0.6097	-252.3488	1.9951	-0.5234	-26.9199	0.0017
1776182107197	104	0.5794	-24.5966	0.1334	0.3785	-52.2458	-0.2235	0.6902	-239.3218	1.8468	-0.5793	-24.5703	-0.133
1776182167197	105	0.3829	-53.0587	-0.3623	0.2796	-66.4547	-0.4564	0.3506	-163.549	0.9299	-0.3829	-53.0357	0.3624
1776182227197	106	0.4095	-54.1587	-0.28	0.3338	-62.6747	-0.3019	0.3033	-155.1956	0.7801	-0.4095	-54.1382	0.2801
1776182287197	107	0.3605	-59.9845	-0.4004	0.3262	-63.5938	-0.3111	0.1622	-125.7788	0.4591	-0.3605	-59.9756	0.4005
1776182347197	108	0.3751	-59.0681	-0.3469	0.3534	-60.6108	-0.2287	0.0894	-113.3692	0.2934	-0.375	-59.079	0.3473
1776182407197	109	0.3473	-59.7939	-0.4136	0.3766	-54.5279	-0.1587	0.0215	-103.2945	0.1416	-0.3473	-59.8032	0.4137
1776182467197	110	0.3482	-58.3443	-0.3982	0.411	-48.4962	-0.0579	-0.0048	-99.2585	0.0809	-0.3481	-58.3662	0.3985
1776182527197	111	0.2791	-65.3292	-0.5881	0.3661	-51.9743	-0.1855	-0.0823	-85.3637	-0.0929	-0.2792	-65.334	0.5878
1776182587197	112	0.2695	-60.8342	-0.5977	0.3515	-42.7524	-0.2239	-0.1138	-71.7478	-0.1622	-0.2698	-60.8134	0.5969
1776182647197	113	0.1765	-60.8908	-0.8591	0.2647	-29.0919	-0.4797	-0.2665	71.3826	-0.513	-0.1765	-60.9167	0.8593
1776182707197	114	0.1114	-154.3415	-1.0243	0.4581	-319.3966	0.1253	-0.5092	-1169.7479	-1.072	-0.1115	-154.47	1.0241
1776182767197	115	0.1835	-150.3706	-0.7631	0.3888	-193.7998	-0.094	-0.5418	-273.3205	-1.102	-0.1834	-150.3569	0.7636
1776182827197	116	0.4271	166.6042	0.0052	0.3288	221.7221	-0.2835	-0.234	-173.1022	-0.3315	-0.427	166.875	-0.0048
1776182887197	117	0.6259	82.4781	0.6246	0.3809	71.4221	-0.1084	0.1476	-73.5389	0.5877	-0.626	82.6671	-0.6248
1776182947197	118	0.7564	44.489	1.0199	0.4666	19.8562	0.1773	0.5669	-7.0198	1.5879	-0.7564	44.5166	-1.0199
1776183007197	119	0.8787	51.6569	1.369	0.535	41.3474	0.4044	0.8375	21.3416	2.1323	-0.8787	51.6831	-1.369
1776183067197	120	0.9082	137.1899	1.3955	0.6213	122.2103	0.6912	0.8571	144.4666	1.9918	-0.9082	137.1899	-1.3954
