type	price	quantity
bid	1.176	4049.35
bid	1.175	13240.05
bid	1.174	15354.87
bid	1.173	22017.68
bid	1.172	12409.65
bid	1.171	13268.37
bid	1.17	21423.11
bid	1.169	17318.53
bid	1.168	5461.61
bid	1.167	20781.92
bid	1.166	21946.48
bid	1.165	7649.7
bid	1.164	97685.45
bid	1.163	17970.55
bid	1.162	12965.03
bid	1.161	12590.31
bid	1.16	21136.84
bid	1.159	3486.37
bid	1.158	1669.34
bid	1.157	4001.37
bid	1.156	2715.12
bid	1.155	9277.69
bid	1.154	1295.94
bid	1.153	4239.59
bid	1.152	1697.11
bid	1.151	8872.24
bid	1.15	38775.76
bid	1.149	3824.8
bid	1.148	4231.47
bid	1.147	3085.8
bid	1.146	5750.04
bid	1.145	15435.41
bid	1.144	5969.85
bid	1.143	2751.34
bid	1.142	689.88
bid	1.141	885.91
bid	1.14	14491.41
bid	1.139	821.99
bid	1.138	1683.26
bid	1.137	649.8
bid	1.136	235.12
bid	1.135	1173.03
bid	1.134	57.01
bid	1.133	1937.45
bid	1.132	145.18
bid	1.131	485.87
bid	1.13	24977.66
bid	1.129	548.79
bid	1.128	142.8
bid	1.127	4763.53
bid	1.126	471.36
bid	1.125	1187.87
bid	1.124	240.46
bid	1.123	1921.31
bid	1.122	909.99
bid	1.121	172.67
bid	1.12	15103.99
bid	1.119	38.99
bid	1.118	170.56
bid	1.117	1000.0
bid	1.116	152.01
bid	1.115	3876.5
bid	1.114	2939.81
bid	1.113	415.23
bid	1.112	6156.55
bid	1.111	1017.65
bid	1.11	19535.63
bid	1.109	2748.57
bid	1.108	142.51
bid	1.107	239.58
bid	1.106	683.9
bid	1.105	1930.59
bid	1.104	122.69
bid	1.103	2117.93
bid	1.102	429.8
bid	1.101	629.83
bid	1.1	92002.77
bid	1.099	9.1
bid	1.098	98.64
bid	1.097	715.65
bid	1.096	76.85
bid	1.095	6.96
bid	1.094	17.09
bid	1.093	52.44
bid	1.092	5.5
bid	1.091	191.17
bid	1.09	365.45
bid	1.089	46.66
bid	1.088	16.74
bid	1.087	21.78
bid	1.086	26.68
bid	1.085	209.39
bid	1.084	2773.06
bid	1.082	32.44
bid	1.08	5861.51
bid	1.079	42.34
bid	1.078	109.74
bid	1.077	5.69
bid	1.076	415.54
bid	1.075	198.47
bid	1.072	5.6
bid	1.071	432.93
bid	1.07	612.2
bid	1.068	56.83
bid	1.067	14.2
bid	1.065	74.06
bid	1.064	145.47
bid	1.062	19.7
bid	1.061	11.37
bid	1.06	755.51
bid	1.059	64.48
bid	1.058	463.86
bid	1.057	171.16
bid	1.056	5.69
bid	1.055	67.72
bid	1.054	100.9
bid	1.053	2440.66
bid	1.052	1122.82
bid	1.051	14.51
bid	1.05	16424.86
bid	1.049	26.68
bid	1.048	13.48
bid	1.047	6.96
bid	1.046	31.73
bid	1.045	197.75
bid	1.044	72.9
bid	1.043	11.38
bid	1.042	113.05
