type	price	quantity
bid	2344.86	64.1173
bid	2344.83	22.1013
bid	2344.82	0.0067
bid	2344.8	1.754
bid	2344.79	24.3645
bid	2344.76	2.5365
bid	2344.75	9.0967
bid	2344.73	0.2131
bid	2344.72	2.5294
bid	2344.7	0.0322
bid	2344.69	6.2065
bid	2344.68	0.0026
bid	2344.65	12.797
bid	2344.64	5.9636
bid	2344.63	3.4277
bid	2344.62	1.2642
bid	2344.6	0.0322
bid	2344.59	0.0043
bid	2344.57	19.6046
bid	2344.56	16.0756
bid	2344.55	24.9173
bid	2344.54	0.0101
bid	2344.51	0.0043
bid	2344.5	0.5337
bid	2344.49	5.9722
bid	2344.47	1.3867
bid	2344.46	0.0054
bid	2344.44	1.4594
bid	2344.43	0.003
bid	2344.42	0.0022
bid	2344.41	20.1129
bid	2344.4	30.3044
bid	2344.39	1.4662
bid	2344.38	0.9979
bid	2344.37	1.2819
bid	2344.36	0.0022
bid	2344.35	0.0043
bid	2344.34	7.2423
bid	2344.33	19.6068
bid	2344.32	0.7315
bid	2344.31	5.6382
bid	2344.3	1.374
bid	2344.29	0.0022
bid	2344.28	0.0048
bid	2344.26	0.0923
bid	2344.24	2.1924
bid	2344.23	0.1121
bid	2344.22	18.3167
bid	2344.21	0.003
bid	2344.2	13.128
bid	2344.19	0.0128
bid	2344.18	2.1329
bid	2344.17	5.9636
bid	2344.16	0.0214
bid	2344.14	19.6046
bid	2344.13	11.26
bid	2344.12	11.9271
bid	2344.11	0.27
bid	2344.1	0.9387
bid	2344.09	0.2777
bid	2344.08	17.2751
bid	2344.06	0.9979
bid	2344.05	18.3189
bid	2344.03	0.0596
bid	2344.02	6.3146
bid	2344.01	0.27
bid	2344.0	0.8726
bid	2343.99	0.2588
bid	2343.97	11.9271
bid	2343.96	27.5963
bid	2343.95	0.3303
bid	2343.94	0.03
bid	2343.92	0.1072
bid	2343.91	0.0022
bid	2343.9	19.0239
bid	2343.88	0.003
bid	2343.87	7.2738
bid	2343.85	0.0043
bid	2343.84	12.9341
bid	2343.83	0.0426
bid	2343.81	0.297
bid	2343.8	0.0322
bid	2343.79	11.9297
bid	2343.78	21.2361
bid	2343.77	0.4229
bid	2343.75	18.3562
bid	2343.74	0.0024
bid	2343.73	0.2694
bid	2343.72	8.4523
bid	2343.71	0.0043
bid	2343.7	0.0408
bid	2343.69	0.3371
bid	2343.68	0.0825
bid	2343.67	8.9999
bid	2343.66	0.003
bid	2343.64	0.0032
bid	2343.63	0.0065
bid	2343.61	1.1708
bid	2343.6	19.6372
bid	2343.57	0.9979
bid	2343.56	4.5361
bid	2343.55	1.6832
bid	2343.54	0.9695
bid	2343.53	0.1067
bid	2343.5	5.9958
bid	2343.49	0.0022
bid	2343.48	0.1069
bid	2343.46	17.4093
bid	2343.45	11.9485
bid	2343.44	0.003
bid	2343.43	18.6677
bid	2343.41	20.3645
bid	2343.4	0.4038
bid	2343.36	0.3288
bid	2343.35	6.033
bid	2343.34	11.2513
bid	2343.33	0.0557
bid	2343.32	0.3664
bid	2343.31	1.2182
bid	2343.3	0.3872
bid	2343.29	6.8361
bid	2343.28	0.0085
bid	2343.26	0.0043
bid	2343.24	0.0513
bid	2343.23	13.0182
bid	2343.22	0.6512
bid	2343.21	0.3056
bid	2343.18	0.0256
bid	2343.17	30.2438
bid	2343.16	19.7023
bid	2343.15	0.0043
bid	2343.13	5.9636
