timestamp	data_points	BTC_corr_15m	BTC_momentum_15m	BTC_zscore_15m	ETH_corr_15m	ETH_momentum_15m	ETH_zscore_15m	BTCDOM_corr_15m	BTCDOM_momentum_15m	BTCDOM_zscore_15m	USDT_BTC_corr_15m	USDT_BTC_momentum_15m	USDT_BTC_zscore_15m
1776179888891	91	0.2307	-53.2712	0.0	0.2235	-51.7695	0.0	-0.1805	-9.6144	0.0	-0.2304	-53.332	0.0
1776179948891	92	-0.1014	-157.2235	0.0	-0.0906	-166.7158	0.0	-0.2982	320.5924	0.0	0.1012	-157.1429	0.0
1776180008891	93	-0.229	0.4827	0.0	-0.344	68.2152	0.0	0.0258	-115.8574	0.0	0.2287	-0.0437	0.0
1776180068891	94	0.2707	-226.97	0.0	0.0441	-121.253	0.0	0.4349	-824.8333	0.0	-0.2705	-226.461	0.0
1776180128891	95	0.4734	-542.0168	0.0	-0.0571	-32.9812	0.0	0.6027	-407.0301	0.0	-0.473	-539.5911	0.0
1776180188891	96	0.4904	-390.6935	1.4066	-0.0884	-44.2623	-0.2352	0.6249	-701.4437	1.4589	-0.4901	-389.8285	-1.4073
1776180248891	97	0.6049	-331.8513	1.5367	0.1339	-155.8149	1.0945	0.6406	-533.717	1.1866	-0.6046	-331.4701	-1.5375
1776180308891	98	0.6218	-324.4765	1.2886	0.2062	-172.1484	1.361	0.6407	-501.1897	1.0027	-0.6214	-324.4131	-1.2888
1776180368891	99	0.6945	-359.2385	1.3411	0.3514	-222.0139	1.9688	0.6623	-489.1304	0.942	-0.6942	-359.2233	-1.3417
1776180428891	100	0.6929	-528.7748	1.1491	0.3469	-260.0831	1.5293	0.6459	-669.5767	0.8028	-0.6929	-529.8387	-1.1505
1776180488891	101	0.6497	2315.2416	0.8854	0.3172	-3745.977	1.1647	0.6573	-1614.5161	0.7698	-0.6498	2315.6134	-0.8868
1776180548891	102	0.5676	550.9174	0.5476	0.2116	138.5569	0.5502	0.7443	-920.6174	0.9616	-0.5677	551.0321	-0.5486
1776180608891	103	0.5085	361.0154	0.3188	0.1478	23.9933	0.2102	0.7324	-1369.3241	0.8532	-0.5087	360.779	-0.32
1776180668891	104	0.603	333.5011	0.6351	0.1996	27.3772	0.4632	0.7912	-829.8893	0.9676	-0.6029	333.1178	-0.6353
1776180728891	105	0.6587	353.0261	0.8024	0.4184	164.4753	1.581	0.7863	-637.4573	0.8885	-0.6586	353.2691	-0.8027
1776180788891	106	0.6656	188.5132	0.784	0.5245	134.6756	1.9429	0.73	-504.4321	0.6717	-0.6655	188.8455	-0.7843
1776180848891	107	0.6788	-769.428	0.7934	0.6051	-767.8808	2.0654	0.6546	-319.5171	0.4164	-0.6786	-770.5534	-0.7933
1776180908891	108	0.6753	-394.8908	0.7428	0.6128	-278.1395	1.8244	0.6244	2320.155	0.3095	-0.6752	-395.2339	-0.7431
1776180968891	109	0.6745	149.1688	0.7081	0.6232	1313.1519	1.6707	0.6089	40.0092	0.2513	-0.6746	149.39	-0.7091
1776181028891	110	0.631	33.2911	0.5142	0.5961	-1143.958	1.4136	0.5902	-2.074	0.184	-0.6313	33.4672	-0.5158
1776181088891	111	0.623	27.0392	0.4667	0.5628	-736.6516	1.1876	0.5521	-11.6499	0.0534	-0.6233	27.1781	-0.4683
1776181148891	112	0.6168	1.9673	0.4285	0.5579	316.6542	1.1035	0.3055	-52.3103	-0.7822	-0.6171	2.0675	-0.4301
1776181208891	113	0.6258	0.6433	0.4534	0.5729	177.8371	1.1056	0.0842	-86.8581	-1.5098	-0.6263	0.7885	-0.4556
1776181268891	114	0.6306	-9.2009	0.4612	0.5815	65.4809	1.0858	0.0092	-98.6109	-1.6583	-0.6314	-9.0464	-0.4646
1776181328891	115	0.5613	-18.9926	0.1593	0.5239	51.0233	0.8236	-0.1246	-119.2909	-1.969	-0.5622	-18.8628	-0.1631
1776181388891	116	0.3634	-44.0665	-0.6892	0.3167	-0.1576	0.0204	-0.0349	-105.3096	-1.5204	-0.3646	-43.8904	0.6843
1776181448891	117	-0.5809	-202.3432	-4.7455	-0.5549	-362.2401	-3.308	0.4547	-38.909	0.0359	0.581	-202.3428	4.7473
1776181508891	118	-0.0103	-102.0256	-1.5854	0.0595	-59.7429	-0.7217	-0.1784	-124.3583	-1.8947	0.0108	-102.1231	1.5873
1776181568891	119	0.1992	-66.9652	-0.8276	0.3057	53.1563	0.1132	-0.4239	-153.5768	-2.4692	-0.199	-66.9929	0.8283
1776181628891	120	0.1772	-73.0985	-0.8738	0.3016	-27.9159	0.0974	-0.4132	-152.5499	-2.1765	-0.1769	-73.14	0.8749
