type	price	quantity
bid	86.0	638.244
bid	85.99	188.654
bid	85.98	638.583
bid	85.97	588.175
bid	85.96	602.046
bid	85.95	516.265
bid	85.94	1103.709
bid	85.93	2559.452
bid	85.92	731.952
bid	85.91	403.5
bid	85.9	641.343
bid	85.89	1023.39
bid	85.88	2443.634
bid	85.87	1226.605
bid	85.86	910.683
bid	85.85	149.444
bid	85.84	106.9
bid	85.83	2544.881
bid	85.82	106.509
bid	85.81	429.429
bid	85.8	255.408
bid	85.79	107.98
bid	85.78	106.634
bid	85.77	111.182
bid	85.76	224.42
bid	85.75	1255.965
bid	85.74	118.636
bid	85.73	109.959
bid	85.72	107.112
bid	85.71	110.359
bid	85.7	153.368
bid	85.69	132.07
bid	85.68	102.132
bid	85.67	200.922
bid	85.66	1244.967
bid	85.65	313.285
bid	85.64	70.384
bid	85.63	79.426
bid	85.62	980.103
bid	85.61	442.495
bid	85.6	202.256
bid	85.59	71.444
bid	85.58	1.544
bid	85.57	1174.075
bid	85.56	5.063
bid	85.55	3.94
bid	85.54	8.8
bid	85.53	1067.437
bid	85.52	191.611
bid	85.51	2.093
bid	85.5	1954.477
bid	85.49	0.979
bid	85.48	15.684
bid	85.47	2.45
bid	85.46	2.7
bid	85.45	441.564
bid	85.44	21.656
bid	85.43	8.82
bid	85.42	16.562
bid	85.41	119.833
bid	85.4	181.502
bid	85.39	8.368
bid	85.38	48.305
bid	85.37	3.598
bid	85.36	10.971
bid	85.35	7.296
bid	85.34	4.628
bid	85.33	14.925
bid	85.32	246.705
bid	85.31	6.221
bid	85.3	47.176
bid	85.29	8.753
bid	85.28	3.485
bid	85.27	302.03
bid	85.26	85.407
bid	85.25	51.501
bid	85.24	5.297
bid	85.23	7.25
bid	85.22	3.927
bid	85.21	33.701
bid	85.2	133.32
bid	85.19	32.896
bid	85.18	386.41
bid	85.17	21.716
bid	85.16	1352.462
bid	85.15	144.092
bid	85.14	4.545
bid	85.13	6.178
bid	85.12	5.131
bid	85.11	69.44
bid	85.1	91.03
bid	85.09	27.586
bid	85.08	6.435
bid	85.07	8.711
bid	85.06	2.119
bid	85.05	14.032
bid	85.04	216.778
bid	85.03	9.421
bid	85.02	2.608
bid	85.01	59.835
bid	85.0	3993.886
bid	84.99	13.536
bid	84.98	2.032
bid	84.97	51.257
bid	84.96	49.771
bid	84.95	8.964
bid	84.94	6.161
bid	84.93	7.833
bid	84.92	468.69
bid	84.91	9.044
bid	84.9	178.907
bid	84.89	6.436
bid	84.88	19.412
bid	84.87	58.814
bid	84.86	537.547
bid	84.85	75.905
bid	84.84	9.728
bid	84.83	51.705
bid	84.82	3.445
bid	84.81	3.801
bid	84.8	150.889
bid	84.79	11.76
bid	84.78	55.887
bid	84.77	7.945
bid	84.76	12.793
bid	84.75	24.313
bid	84.74	17.276
bid	84.73	83.899
bid	84.72	12.037
bid	84.71	5.505
bid	84.7	19.113
bid	84.69	15.776
bid	84.68	11.103
bid	84.67	5.866
bid	84.66	15.043
bid	84.65	2.469
bid	84.64	4.142
bid	84.63	3.768
bid	84.62	2.215
bid	84.61	8.838
bid	84.6	78.026
bid	84.59	35.9
bid	84.58	9.18
bid	84.57	8.887
bid	84.56	25.146
bid	84.55	162.789
bid	84.54	7.599
bid	84.53	4.63
bid	84.52	3252.608
bid	84.51	34.335
bid	84.5	968.073
bid	84.49	12.838
bid	84.48	3.24
bid	84.47	12.948
bid	84.46	12.929
bid	84.45	7.373
bid	84.44	92.408
bid	84.43	5.34
bid	84.42	6.008
bid	84.41	16.215
bid	84.4	49.258
bid	84.39	2.576
bid	84.38	9.262
bid	84.37	12.593
bid	84.36	240.836
bid	84.35	7.096
bid	84.34	8.316
bid	84.33	37.225
bid	84.32	15.297
bid	84.31	81.243
bid	84.3	90.007
bid	84.29	7.51
bid	84.28	5.904
bid	84.27	4.05
bid	84.26	296.385
bid	84.25	125.599
bid	84.24	56.062
bid	84.23	10.989
bid	84.22	556.236
bid	84.21	87.973
bid	84.2	81.184
bid	84.19	37.108
bid	84.18	34.686
bid	84.17	57.959
bid	84.16	83.604
bid	84.15	42.506
bid	84.14	2.449
bid	84.13	15.823
bid	84.12	4.024
bid	84.11	291.499
bid	84.1	434.831
bid	84.09	179.017
bid	84.08	51.028
bid	84.07	639.568
bid	84.06	6.346
bid	84.05	2.292
bid	84.04	3.447
bid	84.03	6.106
bid	84.02	18.948
bid	84.01	32.322
ask	86.01	1181.532
ask	86.02	733.76
ask	86.03	994.989
ask	86.04	893.365
ask	86.05	1871.032
ask	86.06	3083.177
ask	86.07	1398.994
ask	86.08	1594.561
ask	86.09	3227.304
ask	86.1	799.766
ask	86.11	1133.307
ask	86.12	2742.364
ask	86.13	339.602
ask	86.14	363.135
ask	86.15	266.262
ask	86.16	215.887
ask	86.17	316.623
ask	86.18	187.49
ask	86.19	248.566
ask	86.2	431.779
ask	86.21	274.018
ask	86.22	357.34
ask	86.23	476.762
ask	86.24	257.622
ask	86.25	250.324
ask	86.26	194.555
ask	86.27	1297.935
ask	86.28	1269.077
ask	86.29	115.068
ask	86.3	279.67
ask	86.31	132.621
ask	86.32	196.899
ask	86.33	133.529
ask	86.34	195.922
ask	86.35	155.65
ask	86.36	1287.785
ask	86.37	97.825
ask	86.38	200.221
ask	86.39	110.618
ask	86.4	865.018
ask	86.41	145.366
ask	86.42	112.577
ask	86.43	109.109
ask	86.44	1347.138
ask	86.45	95.852
ask	86.46	73.276
ask	86.47	267.471
ask	86.48	122.361
ask	86.49	36.522
ask	86.5	317.007
ask	86.51	97.35
ask	86.52	2383.882
ask	86.53	18.478
ask	86.54	10.199
ask	86.55	2249.85
ask	86.56	8.534
ask	86.57	7.482
ask	86.58	4.536
ask	86.59	3.526
ask	86.6	866.079
ask	86.61	5.07
ask	86.62	1136.797
ask	86.63	3.058
ask	86.64	47.882
ask	86.65	17.184
ask	86.66	89.472
ask	86.67	80.6
ask	86.68	12.589
ask	86.69	3.612
ask	86.7	5014.623
ask	86.71	9.212
ask	86.72	16.764
ask	86.73	3.102
ask	86.74	10.098
ask	86.75	42.711
ask	86.76	39.111
ask	86.77	9.597
ask	86.78	255.486
ask	86.79	4.533
ask	86.8	5334.249
ask	86.81	4.289
ask	86.82	8.553
ask	86.83	4.917
ask	86.84	6.298
ask	86.85	2.555
ask	86.86	13.158
ask	86.87	6.145
ask	86.88	119.093
ask	86.89	2.941
ask	86.9	91.805
ask	86.91	1.906
ask	86.92	51.742
ask	86.93	6.759
ask	86.94	13.468
ask	86.95	14.176
ask	86.96	157.582
ask	86.97	28.492
ask	86.98	15.014
ask	86.99	189.837
ask	87.0	7099.818
ask	87.01	3.63
ask	87.02	418.29
ask	87.03	5.138
ask	87.04	4.936
ask	87.05	10.333
ask	87.06	11.476
ask	87.07	2.569
ask	87.08	5.278
ask	87.09	11.041
ask	87.1	37.523
ask	87.11	4.737
ask	87.12	11.61
ask	87.13	2.171
ask	87.14	28.177
ask	87.15	48.219
ask	87.16	7.83
ask	87.17	22.628
ask	87.18	9.121
ask	87.19	155.554
ask	87.2	3574.963
ask	87.21	41.723
ask	87.22	17.096
ask	87.23	9.727
ask	87.24	56.614
ask	87.25	25.052
ask	87.26	9.15
ask	87.27	5.594
ask	87.28	3.158
ask	87.29	484.984
ask	87.3	5043.093
ask	87.31	2.599
ask	87.32	5.855
ask	87.33	15.787
ask	87.34	3.5
ask	87.35	3.965
ask	87.36	3.905
ask	87.37	5.031
ask	87.38	39.24
ask	87.39	2.872
ask	87.4	200.488
ask	87.41	6.038
ask	87.42	10.323
ask	87.43	2.111
ask	87.44	2.858
ask	87.45	951.368
ask	87.46	72.207
ask	87.47	3.726
ask	87.48	1.702
ask	87.49	2.968
ask	87.5	1794.543
ask	87.51	14.621
ask	87.52	10.355
ask	87.53	4.02
ask	87.54	2.733
ask	87.55	10.945
ask	87.56	27.919
ask	87.57	12.121
ask	87.58	5.909
ask	87.59	40.344
ask	87.6	1443.82
ask	87.61	1.966
ask	87.62	35.629
ask	87.63	59.827
ask	87.64	9.513
ask	87.65	218.443
ask	87.66	87.647
ask	87.67	107.646
ask	87.68	31.104
ask	87.69	53.959
ask	87.7	104.189
ask	87.71	6.144
ask	87.72	266.225
ask	87.73	22.533
ask	87.74	5.887
ask	87.75	49.941
ask	87.76	12.659
ask	87.77	31.471
ask	87.78	28.802
ask	87.79	34.686
ask	87.8	499.33
ask	87.81	14.583
ask	87.82	26.031
