# ========== SESSION KILL ZONES (Lahore Time) ==========
session	start	end
London	2026-04-14T11:00:00	2026-04-14T14:00:00
NewYork	2026-04-14T17:00:00	2026-04-14T20:00:00

# ========== ECONOMIC CALENDAR (Next 24h High-Impact, Lahore Time) ==========
datetime_lahore	currency	title	impact
NO_HIGH_IMPACT_EVENTS	0	0	0

# ========== SESSION VOLATILITY PROFILE (Hourly Avg, 30 Days, Lahore Time) ==========
hour_lahore	avg_volatility_pct
0	0.8232
1	0.8435
2	0.872
3	1.3176
4	0.9782
5	0.9451
6	0.9624
7	0.8298
8	0.7734
9	0.6794
10	0.7208
11	0.7316
12	0.7442
13	0.7303
14	0.8248
15	0.7086
16	0.9295
17	0.9207
18	1.1531
19	1.2861
20	1.2247
21	0.9839
22	1.1148
23	0.9097
