timestamp	data_points	BTC_corr_15m	BTC_momentum_15m	BTC_zscore_15m	ETH_corr_15m	ETH_momentum_15m	ETH_zscore_15m	BTCDOM_corr_15m	BTCDOM_momentum_15m	BTCDOM_zscore_15m	USDT_BTC_corr_15m	USDT_BTC_momentum_15m	USDT_BTC_zscore_15m
1776180914176	91	0.0093	-132.069	0.0	0.0728	349.3827	0.0	0.1689	117.9355	0.0	-0.0093	-131.8493	0.0
1776180974176	92	-0.0013	-102.1207	0.0	0.0488	-59.736	0.0	0.1759	103.1178	0.0	0.0013	-102.1311	0.0
1776181034176	93	-0.1445	-264.5786	0.0	-0.0997	-193.968	0.0	0.1589	41.119	0.0	0.1446	-265.4462	0.0
1776181094176	94	-0.1698	-422.8137	0.0	-0.1731	-350.8696	0.0	0.0564	-42.449	0.0	0.1702	-425.4302	0.0
1776181154176	95	-0.1849	14.9876	0.0	-0.1516	6.2369	0.0	-0.294	984.8708	0.0	0.1853	14.8791	0.0
1776181214176	96	-0.1291	-30.2539	-0.365	-0.1036	29.0162	-0.4211	-0.212	223.6641	-1.4818	0.1295	-30.3014	0.3669
1776181274176	97	0.0869	-465.1261	2.4388	0.1063	-20.6124	1.8383	-0.2151	1203.6364	-1.1736	-0.0862	-450.4065	-2.4277
1776181334176	98	0.2465	-46.4363	3.2847	0.2634	-46.398	2.8697	-0.3558	-201.7153	-1.7207	-0.2457	-46.6102	-3.2797
1776181394176	99	0.4857	1.6747	3.7033	0.5056	13.5414	3.5873	-0.503	-207.8936	-2.0702	-0.4848	1.465	-3.7029
1776181454176	100	0.5643	20.6543	2.5704	0.5743	43.0742	2.4984	-0.5371	-197.5481	-1.747	-0.5635	20.4575	-2.5711
1776181514176	101	0.6907	43.537	2.3824	0.6939	78.5641	2.3331	-0.5884	-201.117	-1.6458	-0.6903	43.4241	-2.3847
1776181574176	102	0.7884	143.7848	2.1676	0.82	219.9376	2.2475	-0.6841	-246.8971	-1.7477	-0.7883	143.7539	-2.1699
1776181634176	103	0.7001	410.6492	1.501	0.7955	223.1113	1.7323	-0.6539	-426.2974	-1.3933	-0.7002	410.3499	-1.5029
1776181694176	104	0.6239	-1052.5191	1.1172	0.7621	880.8237	1.407	-0.5992	-1228.4369	-1.0717	-0.6241	-1055.7427	-1.1189
1776181754176	105	0.4085	-285.1768	0.4297	0.6817	-569.4904	1.0511	-0.5798	-671.2315	-0.9301	-0.4085	-285.429	-0.4306
1776181814176	106	0.2764	2872.043	0.0328	0.5487	653.7088	0.6199	-0.5778	-442.0959	-0.8673	-0.2766	2874.1935	-0.0343
1776181874176	107	0.2556	-19761.5385	-0.03	0.5102	945.4918	0.4867	-0.3975	-325.9807	-0.2295	-0.2557	-19769.2308	0.0288
1776181934176	108	-0.0908	-37.1626	-1.0892	0.0812	-181.4443	-0.7446	-0.3535	-322.467	-0.0738	0.0904	-37.4827	1.087
1776181994176	109	-0.1943	14.4287	-1.3409	-0.0258	-85.0953	-1.0196	-0.3664	-749.6454	-0.1165	0.1939	13.9248	1.3391
1776182054176	110	-0.1682	-9.0319	-1.1693	-0.0372	-75.4617	-0.999	-0.2704	-8.0272	0.2289	0.1682	-9.2283	1.1689
1776182114176	111	-0.2393	85.3602	-1.314	-0.3623	249.7104	-1.8839	0.0512	-124.1509	1.3978	0.2395	84.9421	1.3143
1776182174176	112	-0.1529	-275.9494	-0.9796	-0.3799	-457.3848	-1.7483	0.1982	-192.1432	1.8311	0.1532	-277.7262	0.9801
1776182234176	113	-0.1571	-163.7323	-0.9492	-0.4475	-269.8937	-1.777	0.186	-152.2766	1.6249	0.1574	-164.0619	0.9497
1776182294176	114	-0.0946	-119.477	-0.7268	-0.4405	-187.1242	-1.6122	0.2885	-157.3559	1.844	0.0949	-119.5751	0.7272
1776182354176	115	-0.1122	-119.883	-0.7561	-0.3661	-163.7472	-1.3185	0.1777	-133.0851	1.3393	0.1125	-119.9645	0.7565
1776182414176	116	-0.1555	-122.5134	-0.8624	-0.1264	-118.2159	-0.6746	-0.1287	-78.1271	0.3127	0.1558	-122.5699	0.8628
1776182474176	117	-0.2563	-132.5089	-1.138	-0.0397	-104.8415	-0.4457	-0.2961	-56.7169	-0.2249	0.2565	-132.5384	1.1381
1776182534176	118	-0.2746	-139.223	-1.1458	-0.0226	-102.841	-0.3937	-0.2781	-57.4706	-0.1624	0.2745	-139.2031	1.145
1776182594176	119	-0.3776	-160.5225	-1.4076	-0.0147	-101.9289	-0.3658	-0.3182	-46.8959	-0.2912	0.3776	-160.5031	1.4072
1776182654176	120	-0.2456	-160.1224	-0.9496	0.117	-82.837	-0.0246	-0.2164	-62.6768	0.0543	0.2455	-160.0979	0.9489
