type	price	quantity
bid	362.87	0.483
bid	362.83	1.225
bid	362.82	1.709
bid	362.81	0.777
bid	362.8	2.346
bid	362.79	1.224
bid	362.78	0.573
bid	362.77	2.456
bid	362.76	2.297
bid	362.75	1.668
bid	362.74	15.509
bid	362.73	2.251
bid	362.72	35.305
bid	362.71	13.667
bid	362.69	0.016
bid	362.68	0.443
bid	362.67	0.021
bid	362.66	4.349
bid	362.65	6.587
bid	362.64	4.624
bid	362.63	13.22
bid	362.62	7.574
bid	362.61	20.834
bid	362.6	2.016
bid	362.59	0.021
bid	362.58	4.919
bid	362.57	14.032
bid	362.56	0.016
bid	362.55	3.118
bid	362.54	13.644
bid	362.53	2.048
bid	362.52	13.092
bid	362.51	20.855
bid	362.5	0.296
bid	362.48	0.016
bid	362.47	2.99
bid	362.46	9.948
bid	362.44	0.016
bid	362.43	0.448
bid	362.42	2.251
bid	362.41	7.912
bid	362.4	26.281
bid	362.39	8.824
bid	362.38	9.948
bid	362.37	1.104
bid	362.36	2.267
bid	362.35	0.021
bid	362.34	1.105
bid	362.33	3.304
bid	362.32	0.016
bid	362.31	9.473
bid	362.3	30.782
bid	362.28	0.016
bid	362.27	0.021
bid	362.26	1.441
bid	362.25	2.867
bid	362.24	8.124
bid	362.23	6.608
bid	362.22	11.298
bid	362.2	6.855
bid	362.19	21.282
bid	362.18	0.752
bid	362.17	2.503
bid	362.16	0.016
bid	362.15	4.605
bid	362.14	15.358
bid	362.12	0.037
bid	362.11	2.414
bid	362.1	6.587
bid	362.09	0.082
bid	362.08	0.016
bid	362.06	6.637
bid	362.05	20.834
bid	362.04	1.399
bid	362.01	15.016
bid	362.0	0.458
bid	361.98	6.587
bid	361.96	3.744
bid	361.95	41.904
bid	361.93	10.0
bid	361.92	0.016
bid	361.91	0.427
bid	361.88	2.85
bid	361.86	15.682
bid	361.85	20.834
bid	361.84	0.156
bid	361.83	10.375
bid	361.82	1.515
bid	361.8	0.016
bid	361.79	1.35
bid	361.78	13.081
bid	361.77	2.228
bid	361.76	0.016
bid	361.74	5.329
bid	361.73	7.014
bid	361.72	0.016
bid	361.71	22.508
bid	361.69	11.865
bid	361.68	0.016
bid	361.66	20.834
bid	361.63	0.427
bid	361.62	11.298
bid	361.59	2.656
bid	361.55	7.035
bid	361.54	3.008
bid	361.52	19.897
bid	361.51	0.427
bid	361.5	20.834
bid	361.47	1.874
bid	361.44	4.126
bid	361.43	26.911
bid	361.41	2.231
bid	361.39	20.834
bid	361.38	0.427
bid	361.37	0.137
bid	361.36	2.951
bid	361.34	0.056
bid	361.32	0.427
bid	361.29	27.534
bid	361.28	30.037
bid	361.25	0.017
bid	361.23	2.233
bid	361.21	1.794
bid	361.2	23.244
bid	361.17	0.021
bid	361.15	0.427
bid	361.14	0.015
bid	361.13	27.435
bid	361.12	23.228
bid	361.11	3.305
bid	361.09	0.278
bid	361.07	0.427
bid	361.05	2.233
bid	361.04	32.934
bid	361.03	3.259
bid	361.02	20.834
bid	361.01	11.593
bid	361.0	42.955
bid	360.99	0.445
bid	360.98	0.021
bid	360.97	0.083
bid	360.96	0.047
bid	360.95	0.427
bid	360.92	20.865
bid	360.91	1.819
bid	360.9	36.591
bid	360.87	2.68
bid	360.86	2.137
bid	360.83	9.928
bid	360.81	20.834
bid	360.79	0.448
bid	360.78	0.025
bid	360.75	1.821
bid	360.74	1.45
bid	360.72	0.158
bid	360.71	2.671
bid	360.69	2.236
bid	360.68	10.787
bid	360.67	1.417
bid	360.66	6.764
bid	360.64	141.939
bid	360.62	0.018
bid	360.6	0.834
bid	360.57	8.08
bid	360.55	5.335
bid	360.54	6.587
bid	360.51	2.236
bid	360.5	12.927
bid	360.49	1.356
bid	360.48	0.118
bid	360.47	0.275
bid	360.46	2.0
